1;1411;1512.88;1660
2;1384;1460.46;1598
3;1350;1427.9;1497
4;1350;1407.59;1477
5;1333;1387.39;1482
6;1333;1376.61;1474
7;1333;1354.26;1441
8;1316;1350.04;1445
9;1316;1341.47;1420
10;1303;1334.68;1446
11;1303;1332.12;1439
12;1303;1317.1;1370
13;1303;1308.76;1333
14;1303;1304.24;1316
15;1303;1303.38;1336
16;1303;1303.2;1316
17;1303;1303.14;1310
18;1303;1304.46;1391
19;1303;1304.39;1403
20;1303;1303;1303
21;1303;1303.47;1350
22;1303;1303;1303
23;1303;1304.31;1393
24;1303;1303.2;1315
25;1303;1303.17;1320
26;1303;1304.09;1411
27;1303;1303.23;1326
28;1303;1303.21;1324
29;1303;1303;1303
30;1303;1303.97;1400
31;1303;1303.58;1342
32;1303;1303.12;1315
33;1303;1303;1303
34;1303;1303;1303
35;1303;1303;1303
36;1303;1303;1303
37;1303;1303.23;1326
38;1303;1303.4;1331
39;1303;1303.02;1305
40;1303;1303;1303
41;1303;1305.58;1445
42;1303;1303;1303
43;1303;1304.7;1395
44;1303;1303;1303
45;1303;1303.19;1322
46;1303;1303;1303
47;1303;1303.68;1371
48;1303;1303.1;1313
49;1303;1303.62;1365
50;1303;1303.12;1315
51;1303;1303;1303
52;1303;1303.57;1360
53;1303;1303.31;1322
54;1303;1303.31;1334
55;1303;1303.4;1322
56;1303;1303.33;1323
57;1303;1303.23;1326
58;1303;1303;1303
59;1303;1304;1403
60;1303;1303;1303
61;1303;1303.37;1339
62;1303;1303.48;1351
63;1303;1303;1303
64;1303;1303.44;1330
65;1303;1304.49;1403
66;1303;1303.71;1349
67;1303;1303.38;1341
68;1303;1303;1303
69;1303;1304.65;1403
70;1303;1303.21;1324
71;1303;1303.05;1308
72;1303;1304.02;1361
73;1303;1303.38;1341
74;1303;1303.99;1362
75;1303;1304.33;1427
76;1302;1303.37;1337
77;1302;1303.26;1330
78;1302;1303.25;1331
79;1297;1302.98;1312
80;1297;1304.68;1403
